Frame,X,Y,Width,Height,Area,Angle,Width-S,Height-S,Altitude,center-ix,center-iy,center-ox,center-oy,M-dist,E-dist,GSD-X,GSD-Y,X-cm,Y-cm,GSD
43,1834,1087,118,118,13924,-67.75097634,3840,2160,42,1920,1080,1893,1146,93,71.30918594,1.43220339,1.516949153,169,179,1.415
44,1834,1087,118,118,13924,-67.75097634,3840,2160,42,1920,1080,1893,1146,93,71.30918594,1.43220339,1.516949153,169,179,1.415
45,1834,1087,118,118,13924,-67.75097634,3840,2160,42,1920,1080,1893,1146,93,71.30918594,1.43220339,1.516949153,169,179,1.415
46,1834,1087,119,118,14042,-68.12379189,3840,2160,42,1920,1080,1893.5,1146,92.5,71.12137513,1.420168067,1.516949153,169,179,1.415
47,1834,1088,118,118,13924,-68.05130092,3840,2160,42,1920,1080,1893,1147,94,72.23572523,1.43220339,1.516949153,169,179,1.415
48,1833,1088,119,118,14042,-67.68441142,3840,2160,42,1920,1080,1892.5,1147,94.5,72.4240982,1.420168067,1.516949153,169,179,1.415
49,1833,1088,119,118,14042,-67.68441142,3840,2160,42,1920,1080,1892.5,1147,94.5,72.4240982,1.420168067,1.516949153,169,179,1.415
50,1834,1088,118,118,13924,-68.05130092,3840,2160,42,1920,1080,1893,1147,94,72.23572523,1.43220339,1.516949153,169,179,1.415
51,1833,1088,119,118,14042,-67.68441142,3840,2160,42,1920,1080,1892.5,1147,94.5,72.4240982,1.420168067,1.516949153,169,179,1.415
52,1834,1088,118,118,13924,-68.05130092,3840,2160,42,1920,1080,1893,1147,94,72.23572523,1.43220339,1.516949153,169,179,1.415
53,1834,1088,118,118,13924,-68.05130092,3840,2160,42,1920,1080,1893,1147,94,72.23572523,1.43220339,1.516949153,169,179,1.415
54,1834,1088,118,117,13806,-67.90210788,3840,2160,42,1920,1080,1893,1146.5,93.5,71.77220911,1.43220339,1.52991453,169,179,1.415
55,1834,1088,118,118,13924,-68.05130092,3840,2160,42,1920,1080,1893,1147,94,72.23572523,1.43220339,1.516949153,169,179,1.415
56,1834,1088,118,118,13924,-68.05130092,3840,2160,42,1920,1080,1893,1147,94,72.23572523,1.43220339,1.516949153,169,179,1.415
57,1834,1088,118,118,13924,-68.05130092,3840,2160,42,1920,1080,1893,1147,94,72.23572523,1.43220339,1.516949153,169,179,1.415
58,1834,1088,118,118,13924,-68.05130092,3840,2160,42,1920,1080,1893,1147,94,72.23572523,1.43220339,1.516949153,169,179,1.415
59,1834,1088,118,118,13924,-68.05130092,3840,2160,42,1920,1080,1893,1147,94,72.23572523,1.43220339,1.516949153,169,179,1.415
60,1834,1088,118,117,13806,-67.90210788,3840,2160,42,1920,1080,1893,1146.5,93.5,71.77220911,1.43220339,1.52991453,169,179,1.415
61,1834,1088,118,118,13924,-68.05130092,3840,2160,42,1920,1080,1893,1147,94,72.23572523,1.43220339,1.516949153,169,179,1.415
62,1834,1088,118,118,13924,-68.05130092,3840,2160,42,1920,1080,1893,1147,94,72.23572523,1.43220339,1.516949153,169,179,1.415
63,1833,1088,119,118,14042,-67.68441142,3840,2160,42,1920,1080,1892.5,1147,94.5,72.4240982,1.420168067,1.516949153,169,179,1.415
64,1834,1088,118,118,13924,-68.05130092,3840,2160,42,1920,1080,1893,1147,94,72.23572523,1.43220339,1.516949153,169,179,1.415
65,1834,1088,118,118,13924,-68.05130092,3840,2160,42,1920,1080,1893,1147,94,72.23572523,1.43220339,1.516949153,169,179,1.415
66,1834,1088,118,118,13924,-68.05130092,3840,2160,42,1920,1080,1893,1147,94,72.23572523,1.43220339,1.516949153,169,179,1.415
67,1834,1088,118,118,13924,-68.05130092,3840,2160,42,1920,1080,1893,1147,94,72.23572523,1.43220339,1.516949153,169,179,1.415
68,1834,1088,118,118,13924,-68.05130092,3840,2160,42,1920,1080,1893,1147,94,72.23572523,1.43220339,1.516949153,169,179,1.415
69,1834,1088,118,118,13924,-68.05130092,3840,2160,42,1920,1080,1893,1147,94,72.23572523,1.43220339,1.516949153,169,179,1.415
70,1834,1088,119,118,14042,-68.42009371,3840,2160,42,1920,1080,1893.5,1147,93.5,72.05032963,1.420168067,1.516949153,169,179,1.415
71,1834,1088,119,118,14042,-68.42009371,3840,2160,42,1920,1080,1893.5,1147,93.5,72.05032963,1.420168067,1.516949153,169,179,1.415
72,1834,1088,118,118,13924,-68.05130092,3840,2160,42,1920,1080,1893,1147,94,72.23572523,1.43220339,1.516949153,169,179,1.415
73,1834,1088,119,118,14042,-68.42009371,3840,2160,42,1920,1080,1893.5,1147,93.5,72.05032963,1.420168067,1.516949153,169,179,1.415
74,1834,1089,119,117,13923,-68.56539587,3840,2160,42,1920,1080,1893.5,1147.5,94,72.51551558,1.420168067,1.52991453,169,179,1.415
75,1834,1088,119,118,14042,-68.42009371,3840,2160,42,1920,1080,1893.5,1147,93.5,72.05032963,1.420168067,1.516949153,169,179,1.415
76,1834,1088,119,118,14042,-68.42009371,3840,2160,42,1920,1080,1893.5,1147,93.5,72.05032963,1.420168067,1.516949153,169,179,1.415
77,1834,1089,119,117,13923,-68.56539587,3840,2160,42,1920,1080,1893.5,1147.5,94,72.51551558,1.420168067,1.52991453,169,179,1.415
78,1834,1080,119,126,14994,-67.18667789,3840,2160,42,1920,1080,1893.5,1143,89.5,68.34654344,1.420168067,1.420634921,169,179,1.415
