Frame,X,Y,Width,Height,Area,Angle,Width-S,Height-S,Height-D,center-ix,center-iy,center-ox,center-oy,M-dist,E-dist,X-cm,Y-cm
56,1834,1088,118,118,13924,-68.05130092,3840,2160,42,1920,1080,1893,1147,94,72.23572523,169,179
57,1834,1088,118,118,13924,-68.05130092,3840,2160,42,1920,1080,1893,1147,94,72.23572523,169,179
58,1834,1088,118,118,13924,-68.05130092,3840,2160,42,1920,1080,1893,1147,94,72.23572523,169,179
59,1834,1088,118,118,13924,-68.05130092,3840,2160,42,1920,1080,1893,1147,94,72.23572523,169,179
60,1834,1088,118,117,13806,-67.90210788,3840,2160,42,1920,1080,1893,1146.5,93.5,71.77220911,169,179
61,1834,1088,118,118,13924,-68.05130092,3840,2160,42,1920,1080,1893,1147,94,72.23572523,169,179
62,1834,1088,118,118,13924,-68.05130092,3840,2160,42,1920,1080,1893,1147,94,72.23572523,169,179
63,1833,1088,119,118,14042,-67.68441142,3840,2160,42,1920,1080,1892.5,1147,94.5,72.4240982,169,179
64,1834,1088,118,118,13924,-68.05130092,3840,2160,42,1920,1080,1893,1147,94,72.23572523,169,179
65,1834,1088,118,118,13924,-68.05130092,3840,2160,42,1920,1080,1893,1147,94,72.23572523,169,179
66,1834,1088,118,118,13924,-68.05130092,3840,2160,42,1920,1080,1893,1147,94,72.23572523,169,179
67,1834,1088,118,118,13924,-68.05130092,3840,2160,42,1920,1080,1893,1147,94,72.23572523,169,179
68,1834,1088,118,118,13924,-68.05130092,3840,2160,42,1920,1080,1893,1147,94,72.23572523,169,179
69,1834,1088,118,118,13924,-68.05130092,3840,2160,42,1920,1080,1893,1147,94,72.23572523,169,179
70,1834,1088,119,118,14042,-68.42009371,3840,2160,42,1920,1080,1893.5,1147,93.5,72.05032963,169,179
71,1834,1088,119,118,14042,-68.42009371,3840,2160,42,1920,1080,1893.5,1147,93.5,72.05032963,169,179
72,1834,1088,118,118,13924,-68.05130092,3840,2160,42,1920,1080,1893,1147,94,72.23572523,169,179
73,1834,1088,119,118,14042,-68.42009371,3840,2160,42,1920,1080,1893.5,1147,93.5,72.05032963,169,179
74,1834,1089,119,117,13923,-68.56539587,3840,2160,42,1920,1080,1893.5,1147.5,94,72.51551558,169,179
75,1834,1088,119,118,14042,-68.42009371,3840,2160,42,1920,1080,1893.5,1147,93.5,72.05032963,169,179
76,1834,1088,119,118,14042,-68.42009371,3840,2160,42,1920,1080,1893.5,1147,93.5,72.05032963,169,179
77,1834,1089,119,117,13923,-68.56539587,3840,2160,42,1920,1080,1893.5,1147.5,94,72.51551558,169,179
78,1834,1080,119,126,14994,-67.18667789,3840,2160,42,1920,1080,1893.5,1143,89.5,68.34654344,169,179
79,1834,1089,119,117,13923,-68.56539587,3840,2160,42,1920,1080,1893.5,1147.5,94,72.51551558,169,179
80,1835,1089,118,117,13806,-68.93405435,3840,2160,42,1920,1080,1894,1147.5,93.5,72.33429339,169,179
81,1835,1088,119,118,14042,-69.16332464,3840,2160,42,1920,1080,1894.5,1147,92.5,71.68856255,169,179
82,1836,1088,118,118,13924,-69.53772848,3840,2160,42,1920,1080,1895,1147,92,71.51223672,169,179
83,1836,1088,119,118,14042,-69.91396704,3840,2160,42,1920,1080,1895.5,1147,91.5,71.33897953,169,179
84,1836,1080,119,126,14994,-68.74949449,3840,2160,42,1920,1080,1895.5,1143,87.5,67.59622771,169,179
85,1836,1079,119,127,15113,-68.59482057,3840,2160,42,1920,1080,1895.5,1142.5,87,67.13046998,169,179
86,1835,1079,118,126,14868,-67.24902366,3840,2160,42,1920,1080,1894,1142,88,67.23094526,169,179
87,1834,1088,118,118,13924,-68.05130092,3840,2160,42,1920,1080,1893,1147,94,72.23572523,169,179
88,1832,1088,119,117,13923,-66.80140949,3840,2160,42,1920,1080,1891.5,1146.5,95,72.34984451,169,179
89,1830,1088,119,117,13923,-65.36160328,3840,2160,42,1920,1080,1889.5,1146.5,97,73.16078184,169,179
90,1828,1087,119,117,13923,-63.61016473,3840,2160,42,1920,1080,1887.5,1145.5,98,73.11976477,169,179
91,1826,1087,119,118,14042,-62.40270413,3840,2160,42,1920,1080,1885.5,1146,100.5,74.47314952,169,179
92,1823,1087,119,118,14042,-60.39554925,3840,2160,42,1920,1080,1882.5,1146,103.5,75.90948557,169,179
93,1821,1087,118,118,13924,-58.78159724,3840,2160,42,1920,1080,1880,1146,106,77.17512553,169,179
94,1817,1087,119,117,13923,-56.41098313,3840,2160,42,1920,1080,1876.5,1145.5,109,78.6288751,169,179
95,1814,1078,118,126,14868,-52.38604315,3840,2160,42,1920,1080,1873,1141,108,77.00649323,169,179
96,1810,1078,119,126,14994,-50.3797016,3840,2160,42,1920,1080,1869.5,1141,111.5,79.19122426,169,179
97,1806,1078,119,126,14994,-48.22104022,3840,2160,42,1920,1080,1865.5,1141,115.5,81.80006112,169,179
98,1802,1078,118,126,14868,-45.95484125,3840,2160,42,1920,1080,1861,1141,120,84.86459804,169,179
99,1798,1087,118,117,13806,-46.11456327,3840,2160,42,1920,1080,1857,1145.5,128.5,90.88041593,169,179
100,1793,1087,118,117,13806,-43.92717072,3840,2160,42,1920,1080,1852,1145.5,133.5,94.41530596,169,179
101,1788,1087,118,117,13806,-41.90036788,3840,2160,42,1920,1080,1847,1145.5,138.5,98.07777526,169,179
102,1783,1087,118,117,13806,-40.02164466,3840,2160,42,1920,1080,1842,1145.5,143.5,101.8540623,169,179
103,1778,1087,118,117,13806,-38.27897042,3840,2160,42,1920,1080,1837,1145.5,148.5,105.7319725,169,179
104,1772,1087,118,117,13806,-36.35139796,3840,2160,42,1920,1080,1831,1145.5,154.5,110.5045248,169,179
105,1766,1087,118,117,13806,-34.58524124,3840,2160,42,1920,1080,1825,1145.5,160.5,115.3917241,169,179
106,1760,1088,118,117,13806,-33.36154028,3840,2160,42,1920,1080,1819,1146.5,167.5,120.9266306,169,179
107,1754,1088,118,117,13806,-31.86075807,3840,2160,42,1920,1080,1813,1146.5,173.5,125.9811494,169,179
108,1747,1088,118,117,13806,-30.25643716,3840,2160,42,1920,1080,1806,1146.5,180.5,131.9782179,169,179
109,1740,1087,118,118,13924,-28.61045967,3840,2160,42,1920,1080,1799,1146,187,137.8296049,169,179
110,1733,1088,119,117,13923,-27.54513221,3840,2160,42,1920,1080,1792.5,1146.5,194,143.8002086,169,179
111,1726,1088,118,118,13924,-26.39503453,3840,2160,42,1920,1080,1785,1147,202,150.7116452,169,179
112,1718,1088,118,118,13924,-25.10456867,3840,2160,42,1920,1080,1777,1147,210,157.9177001,169,179
113,1711,1088,118,118,13924,-24.0687233,3840,2160,42,1920,1080,1770,1147,217,164.2832919,169,179
114,1703,1080,118,126,14868,-21.73885953,3840,2160,42,1920,1080,1762,1143,221,170.0970311,169,179
115,1694,1088,118,118,13924,-21.86053824,3840,2160,42,1920,1080,1753,1147,234,179.9388785,169,179
116,1686,1089,118,117,13806,-21.09233951,3840,2160,42,1920,1080,1745,1147.5,242.5,187.5666548,169,179
117,1678,1089,117,117,13689,-20.19591486,3840,2160,42,1920,1080,1736.5,1147.5,251,195.5210986,169,179
118,1668,1089,118,118,13924,-19.40897179,3840,2160,42,1920,1080,1727,1148,261,204.6289325,169,179
119,1660,1089,117,118,13806,-18.6479433,3840,2160,42,1920,1080,1718.5,1148,269.5,212.6646421,169,179
120,1650,1090,118,117,13806,-17.98573951,3840,2160,42,1920,1080,1709,1148.5,279.5,221.8405959,169,179
121,1641,1090,118,118,13924,-17.41332167,3840,2160,42,1920,1080,1700,1149,289,230.5666932,169,179
122,1631,1090,118,117,13806,-16.58490437,3840,2160,42,1920,1080,1690,1148.5,298.5,239.9838536,169,179
123,1621,1090,118,118,13924,-16.03994331,3840,2160,42,1920,1080,1680,1149,309,249.7218453,169,179
124,1611,1090,118,117,13806,-15.32297021,3840,2160,42,1920,1080,1670,1148.5,318.5,259.2146794,169,179
125,1601,1091,117,116,13572,-14.83554767,3840,2160,42,1920,1080,1659.5,1149,329.5,269.4833019,169,179
126,1590,1082,118,125,14750,-13.38773382,3840,2160,42,1920,1080,1649,1144.5,335.5,278.5700092,169,179
127,1580,1090,117,118,13806,-13.77254091,3840,2160,42,1920,1080,1638.5,1149,350.5,289.8331417,169,179
